10.527,5.0517,12.544
0.92218,0.29787,0.74098
9.7529,4.7242,9.5582
-1.6075,6.8255,3.0491
-6.4631,5.2057,0.2311
-7.9514,3.4933,-1.8377
8.6941,-1.4937,4.1869
-7.68,4.0275,-1.1713
10.202,2.5856,19.258
10.413,2.836,19.041
0.34415,-0.64819,-0.80664
2.3933,-2.0712,0.16046
8.6836,0.65055,2.0465
-4.5442,5.7523,1.2733
0.30328,-0.45519,-0.12346
-0.47826,-0.76185,-0.74432
-1.2357,7.5033,4.0461
-0.72019,0.96196,0.67737
10.831,6.0228,-0.81957
7.998,1.1396,17.471
9.5916,2.1592,15.047
-2.4203,6.3073,2.4866
3.0003,8.4888,5.8542
-0.12487,7.0795,3.9704
10.199,5.572,10.722
1.0429,-2.157,1.6007
-0.62376,0.54555,-0.36185
-0.51098,1.1488,1.5565
9.0979,2.3373,-0.78275
-1.7611,6.4091,2.6567
-3.5354,5.7123,1.5484
1.0118,7.1559,4.1191
-0.31709,0.7663,-0.10702
-2.3342,6.1639,2.3084
9.8608,5.9298,10.05
-5.26,6.1542,1.5234
-4.2019,5.4793,1.2915
9.4807,9.509,4.6888
-0.20752,-0.73545,0.59276
0.033406,7.07,3.9
11.025,5.016,12.465
11.259,3.5115,19.336
-6.4788,4.3202,-0.5952
0.87058,1.4185,-1.0672
-0.57759,-1.9749,-0.32038
11.072,9.1953,16.3
8.1221,-0.22096,12.092
-1.6707,1.0841,0.86102
9.605,1.3889,-5.7754
-1.2552,5.4867,1.9148
0.12966,-1.2242,0.10331
9.8862,-2.18,-0.8494
11.033,4.3291,6.2464
-3.988,5.2259,0.91781
-1.1159,-0.63645,0.25085
-3.0302,6.2501,2.3086
10.154,5.7643,10.743
0.15262,6.9345,3.9159
-0.79955,0.11374,-0.62508
1.4938,8.1536,5.31
-6.6469,4.664,-0.35678
-0.21599,0.81151,0.16202
-2.9325,6.0431,2.1319
-2.059,5.9528,2.0634
0.67158,0.19584,-1.4465
-3.9972,5.5901,1.3347
9.1261,3.1591,-8.5457
1.7228,1.1312,-0.012194
0.69578,7.9966,4.9754
-1.458,7.477,4.0192
9.8082,1.7504,8.9407
-4.0264,4.9624,0.52716
-1.5139,6.7139,3.2371
-0.36658,-0.15637,1.0014
-3.6829,5.6588,1.3171
-0.44782,-0.012421,-1.4734
9.8232,5.0725,-8.2686
1.3005,1.7724,-0.17894
1.542,7.9204,5.0615
-3.098,6.3925,2.1663
-9.7059,3.4341,-2.1996
9.5019,4.7957,13.04
3.3275,8.6565,6.3591
10.121,5.6631,20.381
8.684,1.7543,6.2766
-0.79753,-0.62719,0.98017
9.8371,1.5893,-1.5454
-0.54262,6.5223,3.176
-9.0283,3.3237,-2.3625
-1.3936,7.1633,3.5553
9.5463,-1.8863,8.9576
1.2424,1.2559,1.3397
10.082,8.2128,11.331
1.2116,7.8399,4.8395
-0.0065061,-0.35231,-0.85623
-2.4717,5.6058,1.8436
-4.5912,5.1617,0.56948
10.826,9.9316,6.8164
